"Area","hh_size","Total","Under15","`15-18`","`18-65`","Above65","Above18","se.Counter","se.Under15","se.`15-18`","se.`18-65`","se.Above65","se.Above18"
"35",6,11520,10380,4080,11520,1200,11520,331.162381471975,315.158094555855,200.269498113349,331.162381471975,109.275078551623,331.162381471975
"53",6,47760,42780,16140,47640,5040,47760,668.759683959683,635.155187736167,397.394395656024,667.978442156489,223.759745421955,668.759683959683
"61",6,41820,38880,13500,41760,5160,41820,626.909161353018,605.745835869161,363.823243095141,626.479616707551,226.267232821385,626.909161353018
"63",6,24360,22260,9540,24360,2340,24360,480.142348079372,460.083591569488,305.606603697461,480.142348079372,152.521027681497,480.142348079372
"67",6,10740,10020,4500,10740,900,10740,320.260659567567,309.800896348597,210.051831351134,320.260659567567,94.6954715828863,320.260659567567
"73",6,10800,9180,3840,10800,900,10800,319.493269674298,295.838762559708,194.042111433615,319.493269674298,94.6534740968148,319.493269674298
"77",6,23340,22260,9060,23280,2340,23340,458.378973090059,448.850445636688,295.193501344778,457.872859160255,152.100203815921,458.378973090059
"0",7,43400,41300,18340,43400,4550,43400,647.809433167006,632.42795490428,424.937558331554,647.809433167006,212.911210915864,647.809433167006
"11",7,11690,11200,4970,11690,1540,11690,336.650756578661,329.726746029755,221.351159171317,336.650756578661,123.832511621722,336.650756578661
"33",7,39760,35700,14910,39690,7910,39760,622.141896507677,590.046002395395,384.09340621481,621.588065883964,280.373961004891,622.141896507677
"35",7,5600,5180,2520,5530,700,5600,233.878402747843,225.118902316756,157.924185619953,232.452228057746,83.5297018788933,233.878402747843
"53",7,19110,17990,7630,19110,3850,19110,431.545700249092,419.051875506456,274.771322684795,431.545700249092,195.661331758402,431.545700249092
"61",7,17010,15330,7350,17010,3640,17010,407.232517552006,387.140250949202,269.529203480568,407.232517552006,190.249623405785,407.232517552006
"63",7,8610,8120,3570,8610,840,8610,290.643143605626,282.387335953723,188.198925627022,290.643143605626,91.5514899619158,290.643143605626
"67",7,4480,4200,2030,4480,770,4480,209.714065597661,203.175920760975,141.89041825205,209.714065597661,87.6144391024663,209.714065597661
"73",7,3920,3360,1610,3920,490,3920,196.012301987863,181.73548662203,126.368689964968,196.012301987863,69.9145429255898,196.012301987863
"77",7,14210,13510,5950,14210,1890,14210,365.112058299332,356.522205911466,240.868432410829,365.112058299332,136.921931845688,365.112058299332
"0",8,21360,20560,8800,21360,2400,21360,458.270326534073,449.750678044565,295.600546333828,458.270326534073,154.731545490615,458.270326534073
"11",8,5440,5280,2720,5440,720,5440,231.581188426252,228.196809257181,164.338797967764,231.581188426252,84.7555694779567,231.581188426252
"33",8,21120,19200,8560,21040,4320,21120,455.907674844255,434.814458130163,291.48258263565,455.054567792362,207.50369194534,455.907674844255
"35",8,2800,2560,1120,2800,880,2800,166.351179790165,159.147222597704,105.568840699146,166.351179790165,93.6404827177374,166.351179790165
"53",8,9760,9600,4320,9760,1600,9760,310.116668900773,307.581821141712,207.224905034205,310.116668900773,126.31148950661,310.116668900773
"61",8,9200,8640,4160,9200,1360,9200,301.249084847709,292.07709303425,203.347663979887,301.249084847709,116.444469565423,301.249084847709
"63",8,5600,5200,2000,5600,640,5600,235.163654109944,226.684166485961,141.058800107333,235.163654109944,79.8859038107076,235.163654109944
"67",8,2000,2000,560,2000,400,2000,140.848508059664,140.848508059664,74.7508821932339,140.848508059664,63.1884668698486,140.848508059664
"73",8,1680,1680,1040,1680,160,1680,129.063448733522,129.063448733522,101.713048337668,129.063448733522,39.9847462146063,129.063448733522
"77",8,7520,6960,3760,7520,1200,7520,269.26617528539,259.478558795125,192.112142423039,269.26617528539,109.248319245725,269.26617528539
"0",9,9900,9720,5040,9900,720,9900,313.232717511615,310.376829679305,224.023251434927,313.232717511615,84.8002866574509,313.232717511615
"11",9,3240,3060,1980,3240,540,3240,179.114668659334,174.084496659601,140.225608352819,179.114668659334,73.4353410480037,179.114668659334
"33",9,12960,11160,5310,12960,3240,12960,357.963964871901,332.203863576723,229.869652719563,357.963964871901,179.753518287699,357.963964871901
"35",9,1710,1530,1170,1710,450,1710,130.308685427019,123.305621631368,107.907833907925,130.308685427019,67.0004563969312,130.308685427019
"53",9,4770,4680,2070,4770,450,4770,217.540902186573,215.467743311504,143.609033685565,217.540902186573,67.0383398231121,217.540902186573
"61",9,4320,4140,2520,4320,540,4320,207.105412035931,202.774612647628,158.333964230442,207.105412035931,73.4279337369329,207.105412035931
"63",9,1620,1620,900,1620,360,1620,127.035432433996,127.035432433996,94.7543975663085,127.035432433996,59.9788545374461,127.035432433996
"67",9,1170,1080,810,1170,270,1170,107.910006754154,103.699120242325,89.8545211632162,107.910006754154,51.934574259441,107.910006754154
"73",9,1350,1260,540,1350,270,1350,115.793079292921,111.892505987398,73.3856298155293,115.793079292921,51.9271729906144,115.793079292921
"77",9,4680,4590,2520,4680,810,4680,213.941491154369,211.87731698731,157.82194471621,213.941491154369,89.8080262576975,213.941491154369
"0",10,5100,4900,2800,5100,800,5100,225.307508115684,220.858476954811,167.104534054954,225.307508115684,89.3604661575722,225.307508115684
"11",10,3300,3100,1000,3300,800,3300,180.70100433965,175.149409149651,99.8365925465958,180.70100433965,89.2929970802878,180.70100433965
"33",10,6200,5900,3400,6200,1000,6200,248.20412672519,242.138889021965,184.036358621981,248.20412672519,99.9029625627939,248.20412672519
"35",10,400,400,100,400,0,400,63.1959504395778,63.1959504395778,31.6109670205967,63.1959504395778,0,63.1959504395778
"53",10,2300,2300,1700,2300,500,2300,151.324353545911,151.324353545911,130.178277378349,151.324353545911,70.6702007071625,151.324353545911
"61",10,2300,2200,1400,2300,500,2300,151.33974221488,148.01623202783,118.173201676052,151.33974221488,70.671520212052,151.33974221488
"63",10,1100,1000,500,1100,100,1100,104.708122106438,99.8401660453697,70.6563915784016,104.708122106438,31.6111957590066,104.708122106438
"67",10,400,400,300,400,0,400,63.1917844992966,63.1917844992966,54.7404504835128,63.1917844992966,0,63.1917844992966
"73",10,500,500,200,500,0,500,70.6225538845887,70.6225538845887,44.6997564004046,70.6225538845887,0,70.6225538845887
"77",10,2400,2300,1500,2400,400,2400,154.027333632547,150.835430749305,122.059137429842,154.027333632547,63.1832882621366,154.027333632547
"0",11,3850,3850,2640,3850,660,3850,195.839762478097,195.839762478097,162.28406226051,195.839762478097,81.1896584770769,195.839762478097
"11",11,990,990,660,990,220,990,99.2531834708944,99.2531834708944,81.1080173991535,99.2531834708944,46.8825036620722,99.2531834708944
"33",11,3520,3520,1980,3520,660,3520,187.175748713699,187.175748713699,140.455874794128,187.175748713699,81.1704389877534,187.175748713699
"35",11,110,110,0,110,0,110,33.1526345352239,33.1526345352239,0,33.1526345352239,0,33.1526345352239
"53",11,1540,1430,880,1540,330,1540,123.904520463906,119.406188453117,93.7450234048385,123.904520463906,57.4188163020629,123.904520463906
"61",11,1870,1650,1210,1870,440,1870,136.563292368367,128.289090138193,109.879556828639,136.563292368367,66.3046945492914,136.563292368367
"63",11,770,770,660,770,330,770,87.6313916886887,87.6313916886887,81.1302959840672,87.6313916886887,57.4040693030375,87.6313916886887
"67",11,330,330,330,330,0,330,57.3834053515732,57.3834053515732,57.3834053515732,57.3834053515732,0,57.3834053515732
"73",11,110,110,110,110,110,110,33.1578165924693,33.1578165924693,33.1578165924693,33.1578165924693,33.1578165924693,33.1578165924693
"77",11,1100,990,440,1100,220,1100,104.637500617383,99.2965372774395,66.2603843943071,104.637500617383,46.8847044954829,104.637500617383
"0",12,3720,3600,2160,3720,840,3720,192.497231239863,189.379940540267,146.777484194738,192.497231239863,91.5792629164909,192.497231239863
"11",12,1080,960,600,960,600,1080,103.681606010944,97.7963306995888,77.4028567499349,97.7963306995888,77.3696775677084,103.681606010944
"33",12,2640,2280,1800,2640,120,2640,162.295052363301,150.853950510938,134.024259927566,162.295052363301,34.6258532538841,162.295052363301
"35",12,120,120,0,120,120,120,34.6253752607973,34.6253752607973,0,34.6253752607973,34.6253752607973,34.6253752607973
"53",12,1200,1200,840,1200,240,1200,109.425119245919,109.425119245919,91.5551431820335,109.425119245919,48.9649271041833,109.425119245919
"61",12,960,960,600,960,120,960,97.8776412289311,97.8776412289311,77.3918673284162,97.8776412289311,34.6269658501802,97.8776412289311
